instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,wind_category,waktu_hari
95,2011-01-05,Spring,0,1,2,0,3,Working Day,1,0.16,0.197,0.74,0.0896,0,2,2,Rendah,Malam/Dini Hari
96,2011-01-05,Spring,0,1,4,0,3,Working Day,1,0.24,0.2273,0.48,0.2239,0,2,2,Sedang,Malam/Dini Hari
97,2011-01-05,Spring,0,1,5,0,3,Working Day,1,0.22,0.2273,0.47,0.1642,0,3,3,Sedang,Pagi (Berangkat)
98,2011-01-05,Spring,0,1,6,0,3,Working Day,1,0.2,0.197,0.47,0.2239,0,33,33,Sedang,Pagi (Berangkat)
99,2011-01-05,Spring,0,1,7,0,3,Working Day,1,0.18,0.1818,0.43,0.194,1,87,88,Sedang,Pagi (Berangkat)
100,2011-01-05,Spring,0,1,8,0,3,Working Day,1,0.2,0.1818,0.4,0.2985,3,192,195,Sedang,Pagi (Berangkat)
101,2011-01-05,Spring,0,1,9,0,3,Working Day,1,0.22,0.197,0.37,0.3284,6,109,115,Tinggi,Pagi (Berangkat)
102,2011-01-05,Spring,0,1,10,0,3,Working Day,1,0.22,0.197,0.37,0.3284,4,53,57,Tinggi,Siang (Rekreasi)
103,2011-01-05,Spring,0,1,11,0,3,Working Day,1,0.26,0.2273,0.33,0.3284,12,34,46,Tinggi,Siang (Rekreasi)
104,2011-01-05,Spring,0,1,12,0,3,Working Day,1,0.26,0.2273,0.33,0.3284,5,74,79,Tinggi,Siang (Rekreasi)
105,2011-01-05,Spring,0,1,13,0,3,Working Day,1,0.28,0.2576,0.3,0.2985,6,65,71,Sedang,Siang (Rekreasi)
106,2011-01-05,Spring,0,1,14,0,3,Working Day,1,0.3,0.2879,0.28,0.194,10,52,62,Sedang,Siang (Rekreasi)
107,2011-01-05,Spring,0,1,15,0,3,Working Day,1,0.3,0.2879,0.28,0.194,7,55,62,Sedang,Siang (Rekreasi)
108,2011-01-05,Spring,0,1,16,0,3,Working Day,1,0.3,0.3182,0.28,0.0896,4,85,89,Rendah,Sore (Pulang)
109,2011-01-05,Spring,0,1,17,0,3,Working Day,1,0.24,0.2273,0.38,0.194,4,186,190,Sedang,Sore (Pulang)
110,2011-01-05,Spring,0,1,18,0,3,Working Day,1,0.24,0.2424,0.38,0.1343,3,166,169,Sedang,Sore (Pulang)
111,2011-01-05,Spring,0,1,19,0,3,Working Day,1,0.24,0.2576,0.38,0.1045,5,127,132,Sedang,Sore (Pulang)
112,2011-01-05,Spring,0,1,20,0,3,Working Day,1,0.22,0.2273,0.47,0.1642,7,82,89,Sedang,Malam/Dini Hari
113,2011-01-05,Spring,0,1,21,0,3,Working Day,1,0.2,0.197,0.51,0.194,3,40,43,Sedang,Malam/Dini Hari
114,2011-01-05,Spring,0,1,22,0,3,Working Day,1,0.18,0.197,0.55,0.1343,1,41,42,Sedang,Malam/Dini Hari
115,2011-01-05,Spring,0,1,23,0,3,Working Day,1,0.2,0.2576,0.47,0.0,1,18,19,,Malam/Dini Hari
116,2011-01-06,Spring,0,1,0,0,4,Working Day,1,0.18,0.2424,0.55,0.0,0,11,11,,Malam/Dini Hari
117,2011-01-06,Spring,0,1,1,0,4,Working Day,1,0.16,0.2273,0.64,0.0,0,4,4,,Malam/Dini Hari
118,2011-01-06,Spring,0,1,2,0,4,Working Day,1,0.16,0.2273,0.64,0.0,0,2,2,,Malam/Dini Hari
119,2011-01-06,Spring,0,1,4,0,4,Working Day,2,0.16,0.197,0.64,0.0896,0,1,1,Rendah,Malam/Dini Hari
120,2011-01-06,Spring,0,1,5,0,4,Working Day,2,0.14,0.1818,0.69,0.0896,0,4,4,Rendah,Pagi (Berangkat)
121,2011-01-06,Spring,0,1,6,0,4,Working Day,2,0.14,0.1667,0.63,0.1045,0,36,36,Sedang,Pagi (Berangkat)
122,2011-01-06,Spring,0,1,7,0,4,Working Day,2,0.16,0.2273,0.59,0.0,0,95,95,,Pagi (Berangkat)
123,2011-01-06,Spring,0,1,8,0,4,Working Day,1,0.16,0.2273,0.59,0.0,3,216,219,,Pagi (Berangkat)
124,2011-01-06,Spring,0,1,9,0,4,Working Day,2,0.18,0.2424,0.51,0.0,6,116,122,,Pagi (Berangkat)
125,2011-01-06,Spring,0,1,10,0,4,Working Day,1,0.2,0.2576,0.47,0.0,3,42,45,,Siang (Rekreasi)
126,2011-01-06,Spring,0,1,11,0,4,Working Day,1,0.22,0.2576,0.44,0.0896,2,57,59,Rendah,Siang (Rekreasi)
127,2011-01-06,Spring,0,1,12,0,4,Working Day,1,0.26,0.2879,0.35,0.0,6,78,84,,Siang (Rekreasi)
128,2011-01-06,Spring,0,1,13,0,4,Working Day,1,0.26,0.2727,0.35,0.1045,12,55,67,Sedang,Siang (Rekreasi)
129,2011-01-06,Spring,0,1,14,0,4,Working Day,1,0.28,0.2727,0.36,0.1642,11,59,70,Sedang,Siang (Rekreasi)
130,2011-01-06,Spring,0,1,15,0,4,Working Day,1,0.28,0.2727,0.36,0.0,8,54,62,,Siang (Rekreasi)
131,2011-01-06,Spring,0,1,16,0,4,Working Day,1,0.26,0.2576,0.38,0.1642,12,74,86,Sedang,Sore (Pulang)
132,2011-01-06,Spring,0,1,17,0,4,Working Day,1,0.22,0.2273,0.51,0.1642,9,163,172,Sedang,Sore (Pulang)
133,2011-01-06,Spring,0,1,18,0,4,Working Day,1,0.22,0.2273,0.51,0.1343,5,158,163,Sedang,Sore (Pulang)
134,2011-01-06,Spring,0,1,19,0,4,Working Day,1,0.22,0.2576,0.55,0.0896,3,109,112,Rendah,Sore (Pulang)
135,2011-01-06,Spring,0,1,20,0,4,Working Day,1,0.2,0.2121,0.51,0.1642,3,66,69,Sedang,Malam/Dini Hari
136,2011-01-06,Spring,0,1,21,0,4,Working Day,2,0.22,0.2121,0.55,0.2239,0,48,48,Sedang,Malam/Dini Hari
137,2011-01-06,Spring,0,1,22,0,4,Working Day,2,0.22,0.2121,0.51,0.2836,1,51,52,Sedang,Malam/Dini Hari
138,2011-01-06,Spring,0,1,23,0,4,Working Day,2,0.2,0.197,0.59,0.194,4,19,23,Sedang,Malam/Dini Hari
139,2011-01-07,Spring,0,1,0,0,5,Working Day,2,0.2,0.197,0.64,0.194,4,13,17,Sedang,Malam/Dini Hari
140,2011-01-07,Spring,0,1,1,0,5,Working Day,2,0.2,0.197,0.69,0.2239,2,5,7,Sedang,Malam/Dini Hari
141,2011-01-07,Spring,0,1,2,0,5,Working Day,2,0.2,0.197,0.69,0.2239,0,1,1,Sedang,Malam/Dini Hari
142,2011-01-07,Spring,0,1,4,0,5,Working Day,2,0.2,0.2121,0.69,0.1343,0,1,1,Sedang,Malam/Dini Hari
143,2011-01-07,Spring,0,1,5,0,5,Working Day,3,0.22,0.2727,0.55,0.0,0,5,5,,Pagi (Berangkat)
144,2011-01-07,Spring,0,1,6,0,5,Working Day,2,0.2,0.2576,0.69,0.0,8,26,34,,Pagi (Berangkat)
145,2011-01-07,Spring,0,1,7,0,5,Working Day,1,0.2,0.2121,0.69,0.1343,8,76,84,Sedang,Pagi (Berangkat)
146,2011-01-07,Spring,0,1,8,0,5,Working Day,1,0.2,0.197,0.51,0.2537,20,190,210,Sedang,Pagi (Berangkat)
147,2011-01-07,Spring,0,1,9,0,5,Working Day,1,0.2,0.1818,0.47,0.2985,9,125,134,Sedang,Pagi (Berangkat)
148,2011-01-07,Spring,0,1,10,0,5,Working Day,1,0.22,0.197,0.37,0.3284,16,47,63,Tinggi,Siang (Rekreasi)
149,2011-01-07,Spring,0,1,11,0,5,Working Day,2,0.2,0.197,0.4,0.2239,19,48,67,Sedang,Siang (Rekreasi)
150,2011-01-07,Spring,0,1,12,0,5,Working Day,2,0.2,0.197,0.37,0.2537,9,50,59,Sedang,Siang (Rekreasi)
151,2011-01-07,Spring,0,1,13,0,5,Working Day,2,0.2,0.1818,0.37,0.2836,9,64,73,Sedang,Siang (Rekreasi)
152,2011-01-07,Spring,0,1,14,0,5,Working Day,2,0.2,0.197,0.4,0.2537,7,43,50,Sedang,Siang (Rekreasi)
153,2011-01-07,Spring,0,1,15,0,5,Working Day,2,0.2,0.2121,0.37,0.1642,9,63,72,Sedang,Siang (Rekreasi)
154,2011-01-07,Spring,0,1,16,0,5,Working Day,2,0.2,0.2121,0.37,0.1642,5,82,87,Sedang,Sore (Pulang)
155,2011-01-07,Spring,0,1,17,0,5,Working Day,2,0.2,0.2576,0.37,0.0,9,178,187,,Sore (Pulang)
156,2011-01-07,Spring,0,1,18,0,5,Working Day,1,0.2,0.2273,0.4,0.0896,7,116,123,Rendah,Sore (Pulang)
157,2011-01-07,Spring,0,1,19,0,5,Working Day,1,0.16,0.197,0.55,0.0896,3,92,95,Rendah,Sore (Pulang)
158,2011-01-07,Spring,0,1,20,0,5,Working Day,1,0.18,0.2121,0.47,0.1045,1,50,51,Sedang,Malam/Dini Hari
159,2011-01-07,Spring,0,1,21,0,5,Working Day,1,0.18,0.197,0.47,0.1343,0,39,39,Sedang,Malam/Dini Hari
160,2011-01-07,Spring,0,1,22,0,5,Working Day,2,0.18,0.197,0.43,0.1642,2,34,36,Sedang,Malam/Dini Hari
161,2011-01-07,Spring,0,1,23,0,5,Working Day,2,0.18,0.197,0.51,0.1642,1,14,15,Sedang,Malam/Dini Hari
162,2011-01-08,Spring,0,1,0,0,6,Weekend/Holiday,2,0.18,0.197,0.51,0.1642,1,24,25,Sedang,Malam/Dini Hari
163,2011-01-08,Spring,0,1,1,0,6,Weekend/Holiday,2,0.18,0.2121,0.55,0.0896,1,15,16,Rendah,Malam/Dini Hari
164,2011-01-08,Spring,0,1,2,0,6,Weekend/Holiday,2,0.18,0.2424,0.55,0.0,3,13,16,,Malam/Dini Hari
165,2011-01-08,Spring,0,1,3,0,6,Weekend/Holiday,3,0.18,0.197,0.55,0.1642,0,7,7,Sedang,Malam/Dini Hari
166,2011-01-08,Spring,0,1,4,0,6,Weekend/Holiday,3,0.18,0.197,0.55,0.1642,0,1,1,Sedang,Malam/Dini Hari
167,2011-01-08,Spring,0,1,5,0,6,Weekend/Holiday,2,0.16,0.1667,0.74,0.1642,0,5,5,Sedang,Pagi (Berangkat)
168,2011-01-08,Spring,0,1,6,0,6,Weekend/Holiday,2,0.16,0.1667,0.74,0.1642,0,2,2,Sedang,Pagi (Berangkat)
169,2011-01-08,Spring,0,1,7,0,6,Weekend/Holiday,2,0.16,0.1818,0.74,0.1045,1,8,9,Sedang,Pagi (Berangkat)
170,2011-01-08,Spring,0,1,8,0,6,Weekend/Holiday,3,0.16,0.1818,0.93,0.1045,0,15,15,Sedang,Pagi (Berangkat)
171,2011-01-08,Spring,0,1,9,0,6,Weekend/Holiday,3,0.16,0.1818,0.93,0.1045,0,20,20,Sedang,Pagi (Berangkat)
172,2011-01-08,Spring,0,1,10,0,6,Weekend/Holiday,2,0.18,0.197,0.8,0.1642,5,56,61,Sedang,Siang (Rekreasi)
173,2011-01-08,Spring,0,1,11,0,6,Weekend/Holiday,2,0.2,0.1818,0.69,0.3881,2,60,62,Tinggi,Siang (Rekreasi)
174,2011-01-08,Spring,0,1,12,0,6,Weekend/Holiday,2,0.2,0.1818,0.59,0.3582,8,90,98,Tinggi,Siang (Rekreasi)
175,2011-01-08,Spring,0,1,13,0,6,Weekend/Holiday,1,0.2,0.1818,0.44,0.3284,7,95,102,Tinggi,Siang (Rekreasi)
176,2011-01-08,Spring,0,1,14,0,6,Weekend/Holiday,1,0.2,0.1667,0.32,0.4925,12,83,95,Tinggi,Siang (Rekreasi)
177,2011-01-08,Spring,0,1,15,0,6,Weekend/Holiday,1,0.2,0.1667,0.32,0.4478,5,69,74,Tinggi,Siang (Rekreasi)
178,2011-01-08,Spring,0,1,16,0,6,Weekend/Holiday,1,0.18,0.1364,0.29,0.4478,8,68,76,Tinggi,Sore (Pulang)
179,2011-01-08,Spring,0,1,17,0,6,Weekend/Holiday,1,0.16,0.1212,0.37,0.5522,5,64,69,Ekstrem,Sore (Pulang)
180,2011-01-08,Spring,0,1,18,0,6,Weekend/Holiday,1,0.14,0.1212,0.39,0.2985,3,52,55,Sedang,Sore (Pulang)
181,2011-01-08,Spring,0,1,19,0,6,Weekend/Holiday,1,0.14,0.1212,0.36,0.2537,4,26,30,Sedang,Sore (Pulang)
182,2011-01-08,Spring,0,1,20,0,6,Weekend/Holiday,1,0.12,0.1212,0.36,0.2537,0,28,28,Sedang,Malam/Dini Hari
183,2011-01-08,Spring,0,1,21,0,6,Weekend/Holiday,1,0.12,0.1061,0.39,0.3582,2,35,37,Tinggi,Malam/Dini Hari
184,2011-01-08,Spring,0,1,22,0,6,Weekend/Holiday,1,0.12,0.1061,0.36,0.3881,1,33,34,Tinggi,Malam/Dini Hari
185,2011-01-08,Spring,0,1,23,0,6,Weekend/Holiday,1,0.1,0.0606,0.39,0.4478,0,22,22,Tinggi,Malam/Dini Hari
186,2011-01-09,Spring,0,1,0,0,0,Weekend/Holiday,1,0.1,0.0758,0.42,0.3881,1,24,25,Tinggi,Malam/Dini Hari
187,2011-01-09,Spring,0,1,1,0,0,Weekend/Holiday,1,0.1,0.0606,0.42,0.4627,0,12,12,Tinggi,Malam/Dini Hari
188,2011-01-09,Spring,0,1,2,0,0,Weekend/Holiday,1,0.1,0.0606,0.46,0.4627,0,11,11,Tinggi,Malam/Dini Hari
189,2011-01-09,Spring,0,1,3,0,0,Weekend/Holiday,1,0.1,0.0758,0.46,0.4179,0,4,4,Tinggi,Malam/Dini Hari
190,2011-01-09,Spring,0,1,4,0,0,Weekend/Holiday,1,0.08,0.0909,0.53,0.194,0,1,1,Sedang,Malam/Dini Hari
191,2011-01-09,Spring,0,1,5,0,0,Weekend/Holiday,1,0.08,0.0909,0.53,0.194,0,1,1,Sedang,Pagi (Berangkat)
192,2011-01-09,Spring,0,1,6,0,0,Weekend/Holiday,1,0.1,0.0909,0.49,0.2836,0,1,1,Sedang,Pagi (Berangkat)
193,2011-01-09,Spring,0,1,7,0,0,Weekend/Holiday,1,0.08,0.0909,0.53,0.194,1,5,6,Sedang,Pagi (Berangkat)
