instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp_hour,atemp,hum_hour,windspeed_hour,casual,registered,cnt,waktu_hari,windspeed_day,temp_day,hum_day
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Siang (Rekreasi),0.160296,0.2,0.590435
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Siang (Rekreasi),0.160296,0.2,0.590435
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Sore (Pulang),0.160296,0.2,0.590435
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Sore (Pulang),0.160296,0.2,0.590435
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Sore (Pulang),0.160296,0.2,0.590435
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Sore (Pulang),0.160296,0.2,0.590435
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Malam/Dini Hari,0.160296,0.2,0.590435
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Malam/Dini Hari,0.160296,0.2,0.590435
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Malam/Dini Hari,0.160296,0.2,0.590435
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Malam/Dini Hari,0.160296,0.2,0.590435
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Malam/Dini Hari,0.1869,0.226957,0.436957
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Malam/Dini Hari,0.1869,0.226957,0.436957
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Malam/Dini Hari,0.1869,0.226957,0.436957
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Malam/Dini Hari,0.1869,0.226957,0.436957
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Pagi (Berangkat),0.1869,0.226957,0.436957
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Pagi (Berangkat),0.1869,0.226957,0.436957
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Pagi (Berangkat),0.1869,0.226957,0.436957
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Pagi (Berangkat),0.1869,0.226957,0.436957
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Pagi (Berangkat),0.1869,0.226957,0.436957
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Siang (Rekreasi),0.1869,0.226957,0.436957
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Siang (Rekreasi),0.1869,0.226957,0.436957
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Siang (Rekreasi),0.1869,0.226957,0.436957
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Siang (Rekreasi),0.1869,0.226957,0.436957
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Siang (Rekreasi),0.1869,0.226957,0.436957
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Siang (Rekreasi),0.1869,0.226957,0.436957
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Sore (Pulang),0.1869,0.226957,0.436957
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Sore (Pulang),0.1869,0.226957,0.436957
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Sore (Pulang),0.1869,0.226957,0.436957
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Sore (Pulang),0.1869,0.226957,0.436957
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Malam/Dini Hari,0.1869,0.226957,0.436957
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Malam/Dini Hari,0.1869,0.226957,0.436957
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Malam/Dini Hari,0.1869,0.226957,0.436957
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Malam/Dini Hari,0.1869,0.226957,0.436957
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Malam/Dini Hari,0.0895652,0.204348,0.518261
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Malam/Dini Hari,0.0895652,0.204348,0.518261
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Malam/Dini Hari,0.0895652,0.204348,0.518261
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Malam/Dini Hari,0.0895652,0.204348,0.518261
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Pagi (Berangkat),0.0895652,0.204348,0.518261
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Pagi (Berangkat),0.0895652,0.204348,0.518261
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Pagi (Berangkat),0.0895652,0.204348,0.518261
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Pagi (Berangkat),0.0895652,0.204348,0.518261
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Pagi (Berangkat),0.0895652,0.204348,0.518261
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Siang (Rekreasi),0.0895652,0.204348,0.518261
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Siang (Rekreasi),0.0895652,0.204348,0.518261
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Siang (Rekreasi),0.0895652,0.204348,0.518261
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Siang (Rekreasi),0.0895652,0.204348,0.518261
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Siang (Rekreasi),0.0895652,0.204348,0.518261
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Siang (Rekreasi),0.0895652,0.204348,0.518261
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Sore (Pulang),0.0895652,0.204348,0.518261
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Sore (Pulang),0.0895652,0.204348,0.518261
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Sore (Pulang),0.0895652,0.204348,0.518261
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Sore (Pulang),0.0895652,0.204348,0.518261
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Malam/Dini Hari,0.0895652,0.204348,0.518261
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Malam/Dini Hari,0.0895652,0.204348,0.518261
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Malam/Dini Hari,0.0895652,0.204348,0.518261
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Malam/Dini Hari,0.0895652,0.204348,0.518261
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Malam/Dini Hari,0.168726,0.196522,0.498696
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Malam/Dini Hari,0.168726,0.196522,0.498696
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Malam/Dini Hari,0.168726,0.196522,0.498696
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Malam/Dini Hari,0.168726,0.196522,0.498696
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Pagi (Berangkat),0.168726,0.196522,0.498696
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Pagi (Berangkat),0.168726,0.196522,0.498696
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Pagi (Berangkat),0.168726,0.196522,0.498696
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Pagi (Berangkat),0.168726,0.196522,0.498696
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Pagi (Berangkat),0.168726,0.196522,0.498696
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Siang (Rekreasi),0.168726,0.196522,0.498696
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Siang (Rekreasi),0.168726,0.196522,0.498696
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Siang (Rekreasi),0.168726,0.196522,0.498696
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Siang (Rekreasi),0.168726,0.196522,0.498696
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Siang (Rekreasi),0.168726,0.196522,0.498696
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Siang (Rekreasi),0.168726,0.196522,0.498696
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Sore (Pulang),0.168726,0.196522,0.498696
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Sore (Pulang),0.168726,0.196522,0.498696
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Sore (Pulang),0.168726,0.196522,0.498696
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Sore (Pulang),0.168726,0.196522,0.498696
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Malam/Dini Hari,0.168726,0.196522,0.498696
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Malam/Dini Hari,0.168726,0.196522,0.498696
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Malam/Dini Hari,0.168726,0.196522,0.498696
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Malam/Dini Hari,0.168726,0.196522,0.498696
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Malam/Dini Hari,0.266804,0.165,0.535833
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Malam/Dini Hari,0.266804,0.165,0.535833
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Malam/Dini Hari,0.266804,0.165,0.535833
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Malam/Dini Hari,0.266804,0.165,0.535833
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Malam/Dini Hari,0.266804,0.165,0.535833
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Pagi (Berangkat),0.266804,0.165,0.535833
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Pagi (Berangkat),0.266804,0.165,0.535833
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Pagi (Berangkat),0.266804,0.165,0.535833
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Pagi (Berangkat),0.266804,0.165,0.535833
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Pagi (Berangkat),0.266804,0.165,0.535833
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Siang (Rekreasi),0.266804,0.165,0.535833
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Siang (Rekreasi),0.266804,0.165,0.535833
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Siang (Rekreasi),0.266804,0.165,0.535833
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Siang (Rekreasi),0.266804,0.165,0.535833
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Siang (Rekreasi),0.266804,0.165,0.535833
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Siang (Rekreasi),0.266804,0.165,0.535833
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Sore (Pulang),0.266804,0.165,0.535833
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Sore (Pulang),0.266804,0.165,0.535833
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Sore (Pulang),0.266804,0.165,0.535833
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Sore (Pulang),0.266804,0.165,0.535833
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Malam/Dini Hari,0.266804,0.165,0.535833
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Malam/Dini Hari,0.266804,0.165,0.535833
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Malam/Dini Hari,0.266804,0.165,0.535833
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Malam/Dini Hari,0.266804,0.165,0.535833
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Malam/Dini Hari,0.36195,0.138333,0.434167
